document,topic,gamma
1,1,0.9999724085729782
2,1,4.352913840409756e-6
3,1,0.9999778927750848
4,1,0.7866767575966747
5,1,5.398939150140667e-6
6,1,3.2839935197283464e-6
7,1,8.888571763371465e-6
8,1,8.229287181988056e-6
9,1,4.536386033973596e-6
11,1,5.246084332509353e-6
12,1,5.818395337535043e-6
13,1,7.651266724573765e-6
14,1,5.114712317785167e-6
15,1,4.659877661599283e-6
16,1,5.212612682328147e-6
17,1,3.082901923636219e-6
1,2,5.518285404616892e-6
2,2,0.9999782354308006
3,2,4.421444983215144e-6
4,2,0.20620161348155946
5,2,5.398939150351537e-6
6,2,3.2839935191173447e-6
7,2,8.888571764292057e-6
8,2,8.229287182487194e-6
9,2,4.536386031621449e-6
11,2,0.9999737695783449
12,2,0.9540460966257314
13,2,7.65126672467136e-6
14,2,5.1147123177948e-6
15,2,4.659877661163603e-6
16,2,5.212612682109605e-6
17,2,3.0829019232930565e-6
1,3,5.51828540428668e-6
2,3,4.3529138384506705e-6
3,3,4.421444982883185e-6
4,3,5.877376335689614e-6
5,3,5.398939149899912e-6
6,3,3.2839935181080295e-6
7,3,0.9999555571411811
8,3,8.229287180847164e-6
9,3,4.536386033968993e-6
11,3,5.246084330402792e-6
12,3,0.0459306297929205
13,3,7.651266724406157e-6
14,3,0.9999744264384103
15,3,4.659877660937142e-6
16,3,5.212612682455923e-6
17,3,3.0829019240166446e-6
1,4,5.5182854042940155e-6
2,4,4.352913841466733e-6
3,4,4.4214449836847736e-6
4,4,5.877376335682014e-6
5,4,5.39893915010576e-6
6,4,3.283993519520197e-6
7,4,8.88857176416782e-6
8,4,8.22928718193242e-6
9,4,4.536386030546846e-6
11,4,5.246084330959271e-6
12,4,5.818395337046415e-6
13,4,0.9999617436663757
14,4,5.114712318328348e-6
15,4,0.9999767006116955
16,4,5.21261268435373e-6
17,4,0.9999845854903816
1,5,5.51828540425232e-6
2,5,4.352913838880268e-6
3,5,4.421444982903012e-6
4,5,5.877376335890443e-6
5,5,0.9999730053042495
6,5,3.2839935192637103e-6
7,5,8.888571763009846e-6
8,5,8.229287181778744e-6
9,5,0.9999773180698387
11,5,5.246084331193178e-6
12,5,5.818395336872177e-6
13,5,7.651266724637712e-6
14,5,5.114712317962285e-6
15,5,4.6598776606862855e-6
16,5,0.9999739369365864
17,5,3.0829019239411112e-6
1,6,5.518285404324349e-6
2,6,4.35291384038914e-6
3,6,4.421444982531976e-6
4,6,0.007103996792758657
5,6,5.398939150048169e-6
6,6,0.9999835800324043
7,6,8.888571764061439e-6
8,6,0.999958853564091
9,6,4.5363860311516495e-6
11,6,5.24608432990073e-6
12,6,5.8183953367521204e-6
13,6,7.651266725954645e-6
14,6,5.114712317844666e-6
15,6,4.659877659963953e-6
16,6,5.212612682293576e-6
17,6,3.082901923520152e-6
